weight,care_responsibility,heard_before,realistic,enthusiastic,worried,willing_to_use,less_worried_about_family_care,society_saves_money,treat_robot_like_friend,older_adults_more_isolated,older_adults_more_independent,only_for_people_who_cannot_afford_human_caregiver,camera_human_operator,positive_reason_1,positive_reason_2,positive_reason_3,negative_reason_1,negative_reason_2
0.2770846,Very likely,,,,,,,,,,,,,,,,,
0.7000654,Somewhat likely,,,,,,,,,,,,,,,,,
0.367847,Very likely,,,,,,,,,,,,,,,,,
0.0879108,Somewhat likely,,,,,,,,,,,,,,,,,
0.7262947,Somewhat likely,Nothing at all,Not at all realistic,Somewhat enthusiastic,Not at all worried,No,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,,,,Other,
0.8357324,Somewhat likely,,,,,,,,,,,,,,,,,
0.0879108,Somewhat likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
0.622495,Very likely,,,,,,,,,,,,,,,,,
0.2433428,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Human factor lacking,
0.861477,Not too likely,,,,,,,,,,,,,,,,,
0.7997382,Very likely,,,,,,,,,,,,,,,,,
0.2120501,Not at all likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Worse,,,,Human factor lacking,
0.5323862,Somewhat likely,Refused,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Caregiving is family's job,
0.2099254,Not too likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,Worried about errors
0.4289666,Very likely,,,,,,,,,,,,,,,,,
1.9239197,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Reduce burden on family,,,,
0.9263248,Somewhat likely,,,,,,,,,,,,,,,,,
1.8870384,Somewhat likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.1396023,Not at all likely,,,,,,,,,,,,,,,,,
1.8127207,Somewhat likely,Nothing at all,Not very realistic,Not too enthusiastic,Not at all worried,Yes,"Yes, likely","No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely",Better,Refused / No answer,,,,
1.6756021,Very likely,,,,,,,,,,,,,,,,,
0.5414336,Somewhat likely,,,,,,,,,,,,,,,,,
2.2156085,Very likely,A little,Extremely realistic,Very enthusiastic,Not too worried,Yes,"No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.1385246,Not too likely,,,,,,,,,,,,,,,,,
1.2582085,Not too likely,,,,,,,,,,,,,,,,,
0.1687531,Somewhat likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,Caregiving is family's job
0.2391527,Somewhat likely,,,,,,,,,,,,,,,,,
0.0879108,Very likely,,,,,,,,,,,,,,,,,
0.3516572,Very likely,A lot,Not at all realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,Better quality of care,,,,
0.1718457,Not at all likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Better quality of care,Save money,,,
0.8222568,Not at all likely,,,,,,,,,,,,,,,,,
7.4234163,Very likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Refused / No answer,,,,
1.8490146,Not at all likely,A lot,Extremely realistic,Very enthusiastic,Very worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Worse,Other,,,,
7.4234163,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Other,
1.1932624,I am already doing this,,,,,,,,,,,,,,,,,
5.5557594,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
0.4271182,Somewhat likely,,,,,,,,,,,,,,,,,
0.219764,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely",No difference,Reduce burden on family,,,,
0.6369936,I am already doing this,Nothing at all,Not very realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.7330079,Somewhat likely,,,,,,,,,,,,,,,,,
0.7207101,Somewhat likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,Refused / No answer,,,,
0.809501,Very likely,,,,,,,,,,,,,,,,,
3.3581112,Somewhat likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Refused / No answer,,,,
1.4746953,Somewhat likely,A little,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",No difference,Better quality of care,Safety / Security,Reduce burden on family,,
0.218417,Somewhat likely,,,,,,,,,,,,,,,,,
0.2498567,Somewhat likely,,,,,,,,,,,,,,,,,
1.7625261,Somewhat likely,,,,,,,,,,,,,,,,,
0.0879108,Somewhat likely,,,,,,,,,,,,,,,,,
1.2652801,Somewhat likely,,,,,,,,,,,,,,,,,
1.5891809,Somewhat likely,,,,,,,,,,,,,,,,,
0.1443079,Not at all likely,,,,,,,,,,,,,,,,,
2.7108444,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.5052766,Somewhat likely,,,,,,,,,,,,,,,,,
0.8803873,Somewhat likely,,,,,,,,,,,,,,,,,
0.27594,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
0.1024519,Somewhat likely,,,,,,,,,,,,,,,,,
0.8242981,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Better quality of care,Reduce burden on family,Safety / Security,,
6.2998914,Very likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Other,,,,
0.2599844,Not at all likely,,,,,,,,,,,,,,,,,
0.1832853,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,Safety / Security,,,,
0.5591852,Very likely,,,,,,,,,,,,,,,,,
1.9220672,Somewhat likely,A little,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,Better quality of care,,,,
4.1062064,Somewhat likely,,,,,,,,,,,,,,,,,
1.3320987,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Reduce burden on family,Always available,,,
0.2321088,Somewhat likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Human factor lacking,
0.1723936,Very likely,,,,,,,,,,,,,,,,,
0.3200728,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.1332208,Very likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Human factor lacking,
0.7540924,I am already doing this,Nothing at all,Somewhat realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
0.0879108,Not too likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
7.4234163,Very likely,,,,,,,,,,,,,,,,,
7.4234163,Somewhat likely,,,,,,,,,,,,,,,,,
0.1190457,Somewhat likely,A little,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
0.305579,Not too likely,A little,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","No, not likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
0.3967697,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",Worse,Reduce burden on family,,,,
0.4495898,Somewhat likely,,,,,,,,,,,,,,,,,
0.2497919,Not at all likely,,,,,,,,,,,,,,,,,
0.8199187,Not at all likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.7571996,Somewhat likely,,,,,,,,,,,,,,,,,
0.3364669,Very likely,A little,Not very realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.0879108,Very likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
0.150191,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,Greater independence,,,
0.458919,Somewhat likely,,,,,,,,,,,,,,,,,
0.2496024,Very likely,,,,,,,,,,,,,,,,,
0.1829202,Somewhat likely,,,,,,,,,,,,,,,,,
0.0879108,I am already doing this,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
2.1207366,Somewhat likely,,,,,,,,,,,,,,,,,
0.2520001,Somewhat likely,A little,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","No, not likely",Refused,"Yes, likely","No, not likely",Worse,,,,Human factor lacking,
0.5752773,Not too likely,A little,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Save money,,,,
0.2374565,Not at all likely,,,,,,,,,,,,,,,,,
5.3964025,Very likely,,,,,,,,,,,,,,,,,
0.1693375,Somewhat likely,A lot,Somewhat realistic,Not too enthusiastic,Very worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
1.1974046,Not at all likely,,,,,,,,,,,,,,,,,
0.2680235,Not too likely,,,,,,,,,,,,,,,,,
0.1334632,Somewhat likely,,,,,,,,,,,,,,,,,
0.5101524,Somewhat likely,A lot,Somewhat realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Cool factor,,,,
1.1815463,Not too likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","No, not likely","No, not likely","Yes, likely","Yes, likely",Better,Refused / No answer,,,,
2.5635629,I am already doing this,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.6376173,Somewhat likely,,,,,,,,,,,,,,,,,
0.526212,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
2.4053829,Very likely,Nothing at all,Not very realistic,Very enthusiastic,Somewhat worried,Yes,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Better,Better quality of care,Cool factor,,,
0.3901957,Not too likely,Nothing at all,Not very realistic,Not at all enthusiastic,Very worried,No,"No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Worried about errors,
0.4458039,Somewhat likely,,,,,,,,,,,,,,,,,
0.3985114,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
2.480686,Somewhat likely,,,,,,,,,,,,,,,,,
0.3504095,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
1.7907544,Somewhat likely,,,,,,,,,,,,,,,,,
0.1284561,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Better quality of care,,,,
0.7257123,Very likely,A little,Somewhat realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.3784885,Very likely,A little,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
2.8723143,Very likely,,,,,,,,,,,,,,,,,
0.2686966,Somewhat likely,,,,,,,,,,,,,,,,,
0.3868594,Somewhat likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
6.4161669,Somewhat likely,,,,,,,,,,,,,,,,,
0.1380062,I am already doing this,,,,,,,,,,,,,,,,,
1.9543476,Not too likely,A little,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.0879108,Somewhat likely,,,,,,,,,,,,,,,,,
5.9528487,Not at all likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Companion,,,,
0.7406662,Very likely,A lot,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Just don't like it,
1.9888506,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.5750226,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Very worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.7246294,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","No, not likely","No, not likely","No, not likely",No difference,,,,Worried about errors,
0.479514,Very likely,,,,,,,,,,,,,,,,,
0.3679181,Not too likely,A lot,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.995139,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Greater independence,,,,
0.1608697,Very likely,,,,,,,,,,,,,,,,,
0.6913377,Very likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Worse,Save money,Always available,,,
0.1327798,Very likely,,,,,,,,,,,,,,,,,
0.7395012,Very likely,,,,,,,,,,,,,,,,,
3.659453,Very likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Refused / No answer,
0.4756337,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Reduce burden on family,Companion,,,
2.655913,Very likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Refused / No answer,
1.6411774,Very likely,Nothing at all,Not at all realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,Worried about errors
0.3723993,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Cool factor,,,,
0.7302118,Not at all likely,Nothing at all,Not very realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.6775401,Not too likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
2.6535531,Not too likely,Nothing at all,Not at all realistic,Very enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
0.1221654,I am already doing this,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
0.2623313,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",No difference,Always available,,,,
0.8843974,Very likely,,,,,,,,,,,,,,,,,
0.2947477,Very likely,,,,,,,,,,,,,,,,,
0.5375715,Somewhat likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
0.2717318,Somewhat likely,,,,,,,,,,,,,,,,,
0.0898439,Not too likely,,,,,,,,,,,,,,,,,
7.4234163,I am already doing this,A little,Not very realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Refused / No answer,,,,
0.1286741,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,Safety / Security,,,,
7.4234163,Not too likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
2.5417476,I am already doing this,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Better,Other,,,,
1.0267957,Very likely,,,,,,,,,,,,,,,,,
0.5634218,Not too likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
1.7719235,Somewhat likely,,,,,,,,,,,,,,,,,
0.3020951,Not too likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.5864997,Very likely,,,,,,,,,,,,,,,,,
0.1099715,I am already doing this,Nothing at all,Not at all realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Worried about errors,
0.6899438,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely",Refused,"Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
5.1381858,Somewhat likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Better quality of care,Always available,,,
0.2192075,I am already doing this,A lot,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Always available,,,,
0.4238499,Not too likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.3297451,Somewhat likely,,,,,,,,,,,,,,,,,
2.6867321,Not too likely,A little,Not very realistic,Not too enthusiastic,Not too worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
2.2357499,Very likely,,,,,,,,,,,,,,,,,
1.5947895,Not at all likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.124526,Not at all likely,,,,,,,,,,,,,,,,,
2.3509172,Very likely,A lot,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Reduce burden on family,,,,
0.6687012,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Better,Greater independence,Always available,,,
2.3030769,Somewhat likely,,,,,,,,,,,,,,,,,
1.9676942,Not too likely,,,,,,,,,,,,,,,,,
2.6913085,Somewhat likely,,,,,,,,,,,,,,,,,
7.4234163,Not too likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"No, not likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Worried about errors,
0.0879108,Somewhat likely,,,,,,,,,,,,,,,,,
0.3604877,Somewhat likely,,,,,,,,,,,,,,,,,
0.2707474,Not at all likely,,,,,,,,,,,,,,,,,
1.8260918,Not too likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,Reduce burden on family,,,,
0.1222879,Somewhat likely,,,,,,,,,,,,,,,,,
1.7731213,Very likely,,,,,,,,,,,,,,,,,
0.2827973,Not too likely,,,,,,,,,,,,,,,,,
0.2038986,Very likely,,,,,,,,,,,,,,,,,
0.9205308,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,Good for those with no family nearby,,,,
0.8762207,Not at all likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.7345189,Somewhat likely,,,,,,,,,,,,,,,,,
0.315716,Very likely,Nothing at all,Extremely realistic,Not at all enthusiastic,Somewhat worried,Yes,"No, not likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Save money,,,,
3.1495918,Somewhat likely,,,,,,,,,,,,,,,,,
0.0975316,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Worse,Greater independence,Reduce burden on family,,,
0.7037859,Very likely,,,,,,,,,,,,,,,,,
3.3326683,I am already doing this,,,,,,,,,,,,,,,,,
0.1480822,Not at all likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Caregiving is family's job,
0.7297663,Very likely,Nothing at all,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.4113265,Very likely,,,,,,,,,,,,,,,,,
0.3740984,Not too likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Human factor lacking,
0.7565318,Very likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",Better,,,,Just don't like it,
2.1053577,Somewhat likely,,,,,,,,,,,,,,,,,
0.3902956,Very likely,,,,,,,,,,,,,,,,,
0.3696725,Very likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
2.0135463,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not at all worried,No,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,,,,Caregiving is family's job,
0.5179689,Very likely,,,,,,,,,,,,,,,,,
1.3536086,Not at all likely,,,,,,,,,,,,,,,,,
0.3539419,Very likely,,,,,,,,,,,,,,,,,
1.1263245,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.1287532,I am already doing this,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,Better quality of care,Safety / Security,,,
1.1443914,Somewhat likely,,,,,,,,,,,,,,,,,
0.7571745,Very likely,,,,,,,,,,,,,,,,,
0.2604118,Somewhat likely,,,,,,,,,,,,,,,,,
0.4350913,Not at all likely,,,,,,,,,,,,,,,,,
0.3971392,I am already doing this,,,,,,,,,,,,,,,,,
